wav,n10,n20,n30,ref 10,ref 20,ref 30
1535.55,-63.13148499,-62.01454926,-69.24727631,-36.43252182,-36.20631027,-35.80383301
1535.56,-62.96927643,-61.94398499,-69.02510071,-36.53019333,-36.32066727,-35.75483322
1535.57,-62.86296082,-61.85457611,-68.85606384,-36.51305008,-36.2870903,-35.93159485
1535.58,-62.73929214,-61.67088699,-68.66751099,-36.50682831,-36.13415146,-35.9162178
1535.59,-62.66782379,-61.60286713,-68.46498108,-36.57965851,-36.13534927,-36.11518097
1535.6,-62.63828659,-61.52533722,-68.24317169,-36.5376358,-36.19467163,-35.99902725
1535.61,-62.54258347,-61.36337662,-68.01889038,-36.38957214,-36.11550903,-35.9855423
1535.62,-62.52545166,-61.24522781,-67.83968353,-36.37775421,-36.10147858,-36.01758194
1535.63,-62.52100754,-61.07711411,-67.60541534,-36.38769531,-36.16147232,-35.90597916
1535.64,-62.4461937,-60.88392258,-67.50772858,-36.20990372,-36.0015831,-35.93776321
1535.65,-62.44916534,-60.66574097,-67.39046478,-36.17485809,-35.74308014,-35.98884583
1535.66,-62.49930954,-60.56852341,-67.2986145,-36.2245636,-35.68046188,-35.78275299
1535.67,-62.52022552,-60.46229553,-67.207901,-36.22838593,-35.62069321,-35.75368881
1535.68,-62.56154251,-60.34209442,-67.16246796,-36.09609985,-35.48911285,-35.59207916
1535.69,-62.63219452,-60.18046951,-67.1164093,-36.01670456,-35.35002136,-35.55259323
1535.7,-62.75497055,-60.10179901,-67.06861877,-35.99040985,-35.42527771,-35.51379776
1535.71,-62.91860199,-60.00305176,-67.0914917,-35.84926605,-35.38419724,-35.49602509
1535.72,-63.09301758,-59.91642761,-67.12032318,-35.69021988,-35.32682419,-35.55064774
1535.73,-63.40848541,-59.9232254,-67.12382507,-35.63394928,-35.33648682,-35.51620483
1535.74,-63.68201447,-59.94739151,-67.17369843,-35.56674957,-35.40646362,-35.46568298
1535.75,-63.86572266,-59.98293304,-67.258255,-35.4642334,-35.39897156,-35.50205994
1535.76,-64.04173279,-60.03854752,-67.35671997,-35.34588623,-35.29073334,-35.56499481
1535.77,-64.10895538,-60.11906052,-67.46250153,-35.29934311,-35.27993774,-35.51028442
1535.78,-64.18634033,-60.26968002,-67.61788177,-35.26519775,-35.42174911,-35.56377029
1535.79,-64.08866119,-60.29692841,-67.78469849,-35.16397476,-35.34394073,-35.50639343
1535.8,-64.01860046,-60.40665436,-68.00623322,-35.19124222,-35.31427002,-35.52956009
1535.81,-64.01213074,-60.53398132,-68.25518036,-35.27975845,-35.33857346,-35.31190872
1535.82,-63.77051163,-60.62601471,-68.49667358,-35.19447708,-35.28079605,-35.29550552
1535.83,-63.63695145,-60.80942917,-68.86714935,-35.16443634,-35.25859833,-35.38209534
1535.84,-63.51512527,-60.98236465,-69.11592102,-35.27055359,-35.32315826,-35.18500519
1535.85,-63.33053207,-61.19707108,-69.39923096,-35.31258011,-35.45508957,-35.1327095
1535.86,-63.22072983,-61.29503632,-69.78382874,-35.33536911,-35.4390831,-35.21264267
1535.87,-63.10766602,-61.36673737,-70.09707642,-35.43018723,-35.39147568,-35.1014061
1535.88,-63.0334816,-61.54383469,-70.45063782,-35.53066254,-35.51374054,-35.08371735
1535.89,-62.86383438,-61.65166855,-70.85955811,-35.51233292,-35.507267,-34.97607422
1535.9,-62.70910645,-61.77140427,-71.25226593,-35.42159271,-35.44145966,-34.91719818
1535.91,-62.5642395,-61.98152542,-71.65534973,-35.53310394,-35.5411644,-34.85718918
1535.92,-62.42640686,-62.07504654,-71.8480835,-35.66899872,-35.68622589,-34.76192474
1535.93,-62.2568779,-62.17879486,-72.1010437,-35.63938904,-35.62961197,-34.85285187
1535.94,-62.15575027,-62.13072968,-72.17860413,-35.67860413,-35.5381546,-34.7854805
1535.95,-62.12340546,-62.16834259,-71.9384613,-35.81805038,-35.567379,-34.75043106
1535.96,-62.10280228,-62.18660736,-71.74621582,-35.8466301,-35.60389328,-34.72436905
1535.97,-62.11798477,-62.15122604,-71.42461395,-35.80611038,-35.53065109,-34.65784836
1535.98,-62.15322113,-62.11441803,-71.12075043,-35.85567474,-35.45671082,-34.65550995
1535.99,-62.30181122,-62.13318634,-70.80222321,-35.98851776,-35.54540253,-34.64727402
1536,-62.42911911,-62.04029465,-70.45448303,-35.92136002,-35.53585434,-34.69602203
1536.01,-62.58035278,-62.01144409,-70.06853485,-35.95317078,-35.49464417,-34.91277313
